timestamp,role,role_simplified,sector,sector_simplified,yrs_experience,analysis_tools,carto_tools,scripting,prog_languages,prog_primary_factors,r_user,r_experience,r_frequency,r_tasks,r_tasks_simplified,r_strengths,r_limitations,r_packages,r_packages_clean,r_improvements,anything_else
1/3/20 14:42,Remote Sensing Scientist,RS Scientist,Private,Private,11 - 15 years,"QGIS,R,Python,GDAL,Google Earth Engine","QGIS,R,Python,Gimp",Yes,"R,Python,Javascript (or variant)","* Will anyone else need to use the code? If so, I usually use python, since most of my team and the software engineers are python folks. 

* If using GEE, I use the javascript IDE or the python API.

* For nice visuals, I almost always turn to R. 

* I am most familiar with R as a language, so if something has to be coded up quickly, I turn to R even if it's not necessarily the best tool for the job at hand.",Yes,4,Every few days,"Data cleaning, data mining/exploration, modeling, graphics, occasionally maps.","data wrangling,EDA,modeling,visualization,geo analysis","* reliability, consistency in how packages are written, R is built for analysis, while other languages are built to make software.","* control over memory resources, ability to process large datasets quickly (this may be possible w/ new packages and workflows like spark for instance, but I haven't learned them yet). ","Raster,sf,ggplot,ggmap,tmap,leaflet,rgdal,gdalUtils,maptools","Raster,sf,ggplot2,ggmap,tmap,leaflet,rgdal,gdalUtils,maptools",If I could convince the developers to learn it!,
1/3/20 16:02,Researcher,Researcher,Academia,Academia,11 - 15 years,R,R,Yes,R,,Yes,4,Daily,"data analysis, visualization, statistical modeling, population dynamics & ecosystem modeling, simulations","EDA,visualization,modeling","It's the same universe as all the other tools I use, don't need to go anywhere else. Works brill.",Not as widely used for these tasks in general geospatial community. ,"sf,raster,sp","sf,raster,sp",,
1/3/20 16:04,Data scientist,Data scientist,Private,Private,6 - 10 years,"Python,GDAL","QGIS,Python",Yes,Python,,No,,,,,,,,,,
1/3/20 16:06,Statistician,Statistician,Private,Private,6 - 10 years,"PostgreSQL,PostGIS,R,Python,Google Earth Engine",R,Yes,"R,Python",,Yes,5,Daily,"EDA, modeling,  etc.  (almost everything)","EDA,modeling","easy to use,  and lots of other tools",scale up,"sf, raster,sp,geoR,ggplot2,leaflet,spBayes,spgwr","sf,raster,sp,geoR,ggplot2,leaflet,spBayes,spgwr",,
1/3/20 16:26,All of the above,Other,Private,Private,> 20 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,Python,GDAL,CARTO,Google Earth Engine","QGIS,Esri products,R,Adobe Creative Suite,Mapbox,Carto",Yes,"R,Python","Used to be python for arc, R for the rest. Now python occasionally because I like the language but R mostly",Yes,5,Daily,"read/write, buffer, distance, minor mapping, interpolation","data wrangling,geo analysis,maps","With sf, the ability to use tidyverse is excellent.","Memory issues, speed (but less so these days then a few years ago), bigger data. Nothing competes with Arcs Network Analyst. We use PostGIS for this","sf,raster,tmap,mapview,rmapshaper,gstat","sf,raster,tmap,mapview,rmapshaper,gstat",I still think making a beautiful map is harder in R than Arc/Q + Illustrator. I prefer zooming around in Q and often have it open when I have R open,
1/3/20 16:51,Data scientist,Data scientist,Government,Government,3 - 5 years,"QGIS,PostgreSQL,PostGIS,R,GDAL","QGIS,Python,Mapbox,Carto",Yes,R,,Yes,4,Daily,"Modeling, data manipulation, spatial operations, visualization.","modeling,data wrangling,geo analysis,visualization",Easy to use.,Can be slow in some operations (compared to command line GDAL),"sf,raster","sf,raster",,
1/3/20 17:03,Remote Sensing Scientist,RS Scientist,Academia,Academia,16 - 20 years,"QGIS,R,GRASS,GDAL","QGIS,R",Yes,R,,Yes,4,Every few days,"GIS, Remote sensing, Modelling, statistics","geo analysis,modeling,statistics",Flexibility,Performance ,"RStoolbox,sf","RStoolbox,sf",Better performance (faster with large spatial data sets),
1/3/20 17:04,Software engineer,Geo Dev/Engineer,Private,Private,0 - 2 years,"QGIS,PostgreSQL,PostGIS,R,Python,GDAL","QGIS,R,Mapbox",Yes,"R,Javascript (or variant)",Interactive vs Static,Yes,5,Weekly,"Static visualization, data analysis and exploration","visualization,EDA",tidyverse + sf + ggplot,deploying it to production,"sf,sp,mapdeck,tmap,","sf,sp,mapdeck,tmap,",Better database integration,
1/3/20 17:06,Geospatial Developer/Engineer,Geo Dev/Engineer,Academia,Academia,6 - 10 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,GDAL,CARTO","QGIS,R,Inkscape",Yes,R,,Yes,5,Daily,"Almost everything: data processing, spatial analysis, calculations, statistics, graphics, reporting",everything,"automation, part of large ecosystem for data analysis, graphics and statistical capabilities ","Speed (sometimes) and lack of some specialized algorithms (e.g., topology, network analysis)","sf,stars,lwgeom,gstat,spatstat,ggplot2,mapview,leaflet","sf,stars,lwgeom,gstat,spatstat,ggplot2,mapview,leaflet",Some more functions for specialized tasks,I love R and doing spatial analysis in R :-)
1/3/20 17:11,Researcher,Researcher,Government,Government,0 - 2 years,"QGIS,Esri products,PostgreSQL,PostGIS,R","QGIS,R,Python,Mapbox",Yes,"R,Python",,Yes,4,Daily,"Data cleaning, spatial analysis, and regular statistical analysis","data wrangling,geo analysis,statistics",The flexibility of sf and sp,Lack of some functions available thru arcgis,"Sf,sp,spstat,spdep","Sf,sp,spstat,spdep",,
1/3/20 17:47,Researcher,Researcher,Academia,Academia,3 - 5 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,Python,GRASS,GDAL,Google Earth Engine","QGIS,Esri products,R",Yes,"R,Javascript (or variant)",JS when I'm in GEE. R for everything else.,Yes,5,Daily,Spatial ecology,modeling,Lots of information available on how to use spatial data in R,Can be very slow with large datasets,"sf,ggplot2","sf,ggplot2",Performance increases,
1/3/20 17:48,Researcher,Researcher,Independent contractor,Ind Contractor,11 - 15 years,"Esri products,R,GDAL",R,Yes,R,,Yes,4,Daily,"Data entry, cleaning, analysis, reporting","data wrangling,EDA,presentations",Statistics!,Mapping could be easier,"sp,sf,spatstats","sp,sf,spatstats",Reproducibility,
